* Don't look up
EDL	00:15:57,791	00:16:00,000	| Dont.Look.Up.2021 |	but they never called us in.\NI couldn't believe it.
EDL	00:20:22,375	00:20:25,333	| Dont.Look.Up.2021 |	Well, scientists never like to say 100%.
EDL	00:22:53,166	00:22:56,291	| Dont.Look.Up.2021 |	And I just said, "You know what,\NI'm gonna smoke whenever I want to."
EDL	00:26:55,458	00:27:00,291	| Dont.Look.Up.2021 |	so we can make sure that\Nthese sad feelings never ever ever return.
EDL	00:37:30,291	00:37:31,791	| Dont.Look.Up.2021 |	We'll never get out of here.
EDL	00:57:11,791	00:57:16,541	| Dont.Look.Up.2021 |	that whenever\NI feel afraid or alone in this, I…
EDL	01:11:44,708	01:11:46,125	| Dont.Look.Up.2021 |	[Kate] It will never work.
EDL	01:23:37,291	01:23:40,375	| Dont.Look.Up.2021 |	We hang and board behind the abandoned\NBurger Crown from 7:00 to whenever.
EDL	01:42:55,166	01:43:00,000	| Dont.Look.Up.2021 |	♪ It holds on tight\NAnd never lets you go… ♪
EDL	01:44:11,583	01:44:15,041	| Dont.Look.Up.2021 |	♪ Take my hand, baby\NI'll never leave you, Riley ♪
EDL	01:44:53,250	01:44:58,291	| Dont.Look.Up.2021 |	♪ 'Cause tomorrow may never come ♪
EDL	01:49:57,083	01:49:58,958	| Dont.Look.Up.2021 |	I've never met anyone like you
EDL	02:02:42,875	02:02:44,541	| Dont.Look.Up.2021 |	We just never… [sighs]
EDL	02:03:32,208	02:03:33,833	| Dont.Look.Up.2021 |	You'll never take me alive!

* 无耻混蛋
EDL	00:08:49,996	00:08:54,660	| InglouriousBastards |	虽然大部分是浪费时间 但还是非做不可 most of it being a complete waste of time, but needs to be done nevertheless.
EDL	00:10:58,824	00:11:02,728	| InglouriousBastards |	我从未见过德瑞芙斯一家 Having never met the Dreyfuses,would you confirm for me
EDL	00:16:28,320	00:16:32,484	| InglouriousBastards |	可是有很多地方，鹰根本就想不到可以用来藏身 But there are so many places it would never occur to a hawk to hide.
EDL	00:25:29,761	00:25:36,599	| InglouriousBastards |	那个“犹太熊”的称呼，从此不准再这么叫 The Jew degenerate known as ''The Bear Jew,'' henceforth, is never to be referred to as The Bear Jew again.
EDL	00:29:01,005	00:29:02,973	| InglouriousBastards |	柏林他就没去成了 he never got there.
EDL	00:36:46,504	00:36:48,972	| InglouriousBastards |	(德语)我要拥抱我娘，就像从来没抱过那样 l will hug my mother like l've never hugged her before.
