EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,030	00:00:06,750	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Hello and welcome to this entertainment weekly round table for Quentin Tarantino's ninth movie once upon a time in Hollywood
EDL	00:00:06,750	00:00:10,570	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 3.8 secs ]
EDL	00:00:10,570	00:00:15,150	| https://www.youtube.com/watch?v=h_W12HmsIMY |	My name is Clark Collis, I'm a senior writer at Entertainment Weekly magazine and it is my huge
EDL	00:00:15,150	00:00:15,670	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.5 secs ]
EDL	00:00:15,670	00:00:19,619	| https://www.youtube.com/watch?v=h_W12HmsIMY |	huge pleasure to be joined by writer director Quentin Tarantino and
EDL	00:00:19,619	00:00:20,470	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.9 secs ]
EDL	00:00:20,470	00:00:27,150	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Three of its cast Margot Robbie Leonardo DiCaprio and Brad Pitt folks. Thanks so much for coming. I really appreciate it
EDL	00:00:27,150	00:00:29,289	| https://www.youtube.com/watch?v=h_W12HmsIMY |	so as you may have
EDL	00:00:29,289	00:00:31,289	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Tailed by my accent. I'm not from Los Angeles
EDL	00:00:31,289	00:00:31,630	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.3 secs ]
EDL	00:00:31,630	00:00:36,450	| https://www.youtube.com/watch?v=h_W12HmsIMY |	But I moved here a year ago, and I've had some ups and downs, but I just love this movie so much
EDL	00:00:36,450	00:00:44,279	| https://www.youtube.com/watch?v=h_W12HmsIMY |	It is such a like it's really profoundly affected me and the way that I see Los Angeles and I was kind of driving around
EDL	00:00:44,279	00:00:44,890	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.6 secs ]
EDL	00:00:44,890	00:00:48,869	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Yesterday with Neil Diamond cranked up wishing I had a convertible
EDL	00:00:48,869	00:00:50,140	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 1.3 secs ]
EDL	00:00:50,140	00:00:52,860	| https://www.youtube.com/watch?v=h_W12HmsIMY |	I started getting a bit choked up just thinking about
EDL	00:00:52,860	00:00:53,379	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.5 secs ]
EDL	00:00:53,379	00:00:58,410	| https://www.youtube.com/watch?v=h_W12HmsIMY |	what happens in the film and it really I mean it said in 96 and I will get into your you know characters in a
EDL	00:00:58,410	00:01:03,059	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Moment but Quentin, were you always intending for this to be like a basically a Valentine to Los Angeles?
EDL	00:01:03,059	00:01:04,900	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 1.8 secs ]
EDL	00:01:04,900	00:01:10,349	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Yes, it was I mean I I I grew up in Los Angeles and I loved it I loved it the way that
EDL	00:01:10,349	00:01:11,110	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.8 secs ]
EDL	00:01:11,110	00:01:16,199	| https://www.youtube.com/watch?v=h_W12HmsIMY |	the only people who truly loved it are the people who who loved it the right way or the people who grew up here and
EDL	00:01:16,199	00:01:20,530	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 4.3 secs ]
EDL	00:01:20,530	00:01:22,530	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Know you can love it in your own way
EDL	00:01:22,530	00:01:26,229	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 3.7 secs ]
EDL	00:01:26,229	00:01:28,229	| https://www.youtube.com/watch?v=h_W12HmsIMY |	But
EDL	00:01:28,229	00:01:30,579	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 2.3 secs ]
EDL	00:01:30,579	00:01:38,309	| https://www.youtube.com/watch?v=h_W12HmsIMY |	The thing is especially says like when it came to 1969 I was like between 6 & 7 years old and
EDL	00:01:38,309	00:01:40,000	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 1.7 secs ]
EDL	00:01:40,000	00:01:42,750	| https://www.youtube.com/watch?v=h_W12HmsIMY |	And so the film became a big memory piece and
EDL	00:01:42,750	00:01:43,630	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.9 secs ]
EDL	00:01:43,630	00:01:49,329	| https://www.youtube.com/watch?v=h_W12HmsIMY |	You know a big part of my memory of Los Angeles at that time is being in the car
EDL	00:01:49,329	00:01:52,930	| https://www.youtube.com/watch?v=h_W12HmsIMY |	with my stepfather being in the car with my mom and
EDL	00:01:52,930	00:01:59,130	| https://www.youtube.com/watch?v=h_W12HmsIMY |	driving around and listening to the radio playing all the time and how we listen to the radio back then which is different than the
EDL	00:01:59,130	00:02:03,360	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Way we listen to the radio now where you just you you you you kept it on one station
EDL	00:02:03,360	00:02:04,770	| https://www.youtube.com/watch?v=h_W12HmsIMY |	You didn't move around looking for songs
EDL	00:02:04,770	00:02:10,530	| https://www.youtube.com/watch?v=h_W12HmsIMY |	and then when the the commercials played you played the radio really loud and when the commercials played you didn't turn the radio down you
EDL	00:02:10,530	00:02:13,080	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Just talked over. It's over the already loud radio
EDL	00:02:13,080	00:02:13,890	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.8 secs ]
EDL	00:02:13,890	00:02:19,080	| https://www.youtube.com/watch?v=h_W12HmsIMY |	and and I you know, I remember the bus stops advertising the you know, uh,
EDL	00:02:19,080	00:02:20,200	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 1.1 secs ]
EDL	00:02:20,200	00:02:24,899	| https://www.youtube.com/watch?v=h_W12HmsIMY |	the rerun shows that are on the local television stations and the movie posters and the mio
EDL	00:02:24,899	00:02:25,540	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.6 secs ]
EDL	00:02:25,540	00:02:27,540	| https://www.youtube.com/watch?v=h_W12HmsIMY |	diet right RC Cola
EDL	00:02:27,540	00:02:28,030	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.5 secs ]
EDL	00:02:28,030	00:02:30,869	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Billboards all that kind of stuff. That's what I remember. In fact, there's even um,
EDL	00:02:30,869	00:02:31,420	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.6 secs ]
EDL	00:02:31,420	00:02:33,929	| https://www.youtube.com/watch?v=h_W12HmsIMY |	my stepfather drove a Karmann Ghia
EDL	00:02:33,929	00:02:34,750	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.8 secs ]
EDL	00:02:34,750	00:02:40,740	| https://www.youtube.com/watch?v=h_W12HmsIMY |	like cliffs character dries and even that hole shot where you see cliff driving by those signs and like well
EDL	00:02:40,740	00:02:46,440	| https://www.youtube.com/watch?v=h_W12HmsIMY |	That's pretty much my view me up at my stepfather in the Karmann Ghia as he drove around Los
EDL	00:02:46,440	00:02:50,380	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Angeles's me looking up with him like that an angle very similar to what we had with Wrath
EDL	00:02:50,380	00:02:52,889	| https://www.youtube.com/watch?v=h_W12HmsIMY |	so it's like yeah, so it's a yes, so
EDL	00:02:52,889	00:02:53,680	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.8 secs ]
EDL	00:02:53,680	00:02:58,890	| https://www.youtube.com/watch?v=h_W12HmsIMY |	In the same with a Jackie Brown, I think has the kind of me trying to capture the South Bay of the 80s
EDL	00:02:58,890	00:02:59,680	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.8 secs ]
EDL	00:02:59,680	00:03:03,780	| https://www.youtube.com/watch?v=h_W12HmsIMY |	That's what I was trying to do with this and some of the characters and the a lot of the characters in the film are
EDL	00:03:03,780	00:03:04,300	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.5 secs ]
EDL	00:03:04,300	00:03:06,329	| https://www.youtube.com/watch?v=h_W12HmsIMY |	fictional although perhaps inspired by real people
EDL	00:03:06,329	00:03:06,760	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.4 secs ]
EDL	00:03:06,760	00:03:12,959	| https://www.youtube.com/watch?v=h_W12HmsIMY |	But the film also features some real characters and Marga you play Sharon Tate is very much a real person
EDL	00:03:12,959	00:03:13,720	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.8 secs ]
EDL	00:03:13,720	00:03:15,310	| https://www.youtube.com/watch?v=h_W12HmsIMY |	what does your
EDL	00:03:15,310	00:03:17,440	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Sharon like I
EDL	00:03:17,440	00:03:18,580	| https://www.youtube.com/watch?v=h_W12HmsIMY |	think
EDL	00:03:18,580	00:03:20,790	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Definitely what I felt when reading the script was that
EDL	00:03:20,790	00:03:22,000	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 1.2 secs ]
EDL	00:03:22,000	00:03:23,430	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Quentin and we spoke about it
EDL	00:03:23,430	00:03:30,060	| https://www.youtube.com/watch?v=h_W12HmsIMY |	She was a bit of a heartbeat throughout the story and I wanted to therefore inject her with as much
EDL	00:03:30,060	00:03:30,640	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.6 secs ]
EDL	00:03:30,640	00:03:31,690	| https://www.youtube.com/watch?v=h_W12HmsIMY |	life as
EDL	00:03:31,690	00:03:33,929	| https://www.youtube.com/watch?v=h_W12HmsIMY |	as possible and and also to
EDL	00:03:33,929	00:03:34,330	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.4 secs ]
EDL	00:03:34,330	00:03:39,330	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Try and show the best parts of myself because by all accounts for anything I've ever read about it
EDL	00:03:39,330	00:03:41,969	| https://www.youtube.com/watch?v=h_W12HmsIMY |	people say how wonderful she was and generous and
EDL	00:03:41,969	00:03:42,430	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.5 secs ]
EDL	00:03:42,430	00:03:45,840	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Also, I think at that time she was it was an incredibly exciting time in her life
EDL	00:03:45,840	00:03:46,720	| https://www.youtube.com/watch?v=h_W12HmsIMY |	she's
EDL	00:03:46,720	00:03:49,510	| https://www.youtube.com/watch?v=h_W12HmsIMY |	newly married and her careers really taking off in
EDL	00:03:49,510	00:03:55,349	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Hollywood is is an exciting place where there's so much opportunity and experiences to be had and you know
EDL	00:03:55,349	00:03:55,720	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.4 secs ]
EDL	00:03:55,720	00:03:59,609	| https://www.youtube.com/watch?v=h_W12HmsIMY |	therefore I wanted to feel hopeful I wanted her to feel excited and
EDL	00:03:59,609	00:04:00,970	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 1.4 secs ]
EDL	00:04:00,970	00:04:03,809	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Yeah, it was really beautiful to be able to have those more
EDL	00:04:03,809	00:04:04,840	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 1.0 secs ]
EDL	00:04:04,840	00:04:08,670	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Quiet moments to ourselves where she's just kind of loving life in Hollywood
EDL	00:04:08,670	00:04:13,380	| https://www.youtube.com/watch?v=h_W12HmsIMY |	And there's that wonderful in that wonderful see where she essentially goes to see a film that she's in
EDL	00:04:13,380	00:04:13,870	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.5 secs ]
EDL	00:04:13,870	00:04:19,168	| https://www.youtube.com/watch?v=h_W12HmsIMY |	But there's a very sweet moment which she bowls up to the the cinema and is like, hey, I'm in this movie
EDL	00:04:19,168	00:04:20,459	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Can I can I come and see it?
EDL	00:04:20,459	00:04:22,500	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Has anyone have any of you ever done that it?
EDL	00:04:22,500	00:04:26,190	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Life sort of turned up at a cinema and being like I'm in this film or I directed this film
EDL	00:04:26,190	00:04:26,800	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.6 secs ]
EDL	00:04:26,800	00:04:29,400	| https://www.youtube.com/watch?v=h_W12HmsIMY |	III did that once at the Brewin no less I
EDL	00:04:29,400	00:04:31,330	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 1.9 secs ]
EDL	00:04:31,330	00:04:33,330	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Wonder where you got it from this
EDL	00:04:33,330	00:04:36,340	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 3.0 secs ]
EDL	00:04:36,340	00:04:42,810	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Date and I went to see true romance and then I thought well, you know, I wrote this thing
EDL	00:04:42,810	00:04:43,270	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.5 secs ]
EDL	00:04:43,270	00:04:45,270	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Maybe they'll let me in for free. All right
EDL	00:04:45,270	00:04:47,140	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 1.9 secs ]
EDL	00:04:47,140	00:04:48,720	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Not because you're on a date
EDL	00:04:48,720	00:04:55,870	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Yeah, not because nothing is that was stressing the money just being actually I'm in the movie right there. She's not stressing the 75-cent
EDL	00:04:55,870	00:04:59,250	| https://www.youtube.com/watch?v=h_W12HmsIMY |	She's almost just proud to be in the movie. Do I get a little consideration?
EDL	00:04:59,250	00:05:01,240	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 2.0 secs ]
EDL	00:05:01,240	00:05:03,269	| https://www.youtube.com/watch?v=h_W12HmsIMY |	That's funny and so I bring up
EDL	00:05:03,269	00:05:04,600	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 1.3 secs ]
EDL	00:05:04,600	00:05:10,230	| https://www.youtube.com/watch?v=h_W12HmsIMY |	To the manager and he starts my girlfriend starts negotiating it
EDL	00:05:10,230	00:05:11,590	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 1.4 secs ]
EDL	00:05:11,590	00:05:13,980	| https://www.youtube.com/watch?v=h_W12HmsIMY |	He's like well, how do I know? He's in the mood?
EDL	00:05:13,980	00:05:16,919	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Well, I know he wrote that someone she he can show you his driver's license
EDL	00:05:16,919	00:05:20,919	| https://www.youtube.com/watch?v=h_W12HmsIMY |	His name is right there and then but Reservoir Dogs had already come out
EDL	00:05:20,919	00:05:25,090	| https://www.youtube.com/watch?v=h_W12HmsIMY |	So then a couple of people like come up to me and start asking for my autograph
EDL	00:05:25,090	00:05:31,739	| https://www.youtube.com/watch?v=h_W12HmsIMY |	And so I decided my autograph and then the manager of the theater goes well, who are those people he goes? Those are his fans?
EDL	00:05:31,739	00:05:42,430	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 10.7 secs ]
EDL	00:05:42,430	00:05:44,430	| https://www.youtube.com/watch?v=h_W12HmsIMY |	But he saw me with my fans and
EDL	00:05:44,430	00:05:45,970	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 1.5 secs ]


EDL	00:05:45,970	00:05:49,019	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Leah tell us about about your character and once upon a time in Hollywood
EDL	00:05:49,019	00:05:49,540	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.5 secs ]


EDL	00:05:49,540	00:05:51,160	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Well was it was?
EDL	00:05:51,160	00:05:55,290	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Interesting to play this sort of guy that is in a way
EDL	00:05:55,290	00:05:56,050	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.8 secs ]
EDL	00:05:56,050	00:05:59,400	| https://www.youtube.com/watch?v=h_W12HmsIMY |	reached this expiration date culturally and
EDL	00:05:59,400	00:06:00,100	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.7 secs ]
EDL	00:06:00,100	00:06:05,220	| https://www.youtube.com/watch?v=h_W12HmsIMY |	The 60s have come along and as Quentin eloquently, you know puts in the movie
EDL	00:06:05,220	00:06:08,760	| https://www.youtube.com/watch?v=h_W12HmsIMY |	He's a he's a he's an actor that has spent his career combing
EDL	00:06:08,760	00:06:15,040	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Is there hair and and creating a pompadour his whole life is that's what he knows and he's not making this sort of
EDL	00:06:15,040	00:06:18,209	| https://www.youtube.com/watch?v=h_W12HmsIMY |	transition into this new era of Hollywood and
EDL	00:06:18,209	00:06:18,790	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.6 secs ]
EDL	00:06:18,790	00:06:20,950	| https://www.youtube.com/watch?v=h_W12HmsIMY |	He's also feeling sorry for himself
EDL	00:06:20,950	00:06:26,819	| https://www.youtube.com/watch?v=h_W12HmsIMY |	He's a working actor, but he he kind of missed out on that op that television to film
EDL	00:06:26,819	00:06:27,520	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.7 secs ]
